probe	logFC	AveExpr	t	P.Value	adj.P.Val	B	symbol
ILMN_1804886	1.7724831195	6.06087663885714	25.3614585481787	9.12517797548543e-10	5.32332344645599e-08	13.0876103366829	HTR1D
ILMN_1690420	2.45883602441667	8.75693750514286	25.3500304289613	9.16226244209619e-10	5.33433112558225e-08	13.0833028438872	GFI1
ILMN_2084031	-1.76028984016667	10.562850998	-25.3224163113574	9.25256212653785e-10	5.36564828730083e-08	13.0728860606815	PRTG
ILMN_2294989	2.05703531425	6.247770213	25.3223752187781	9.25269723437568e-10	5.36564828730083e-08	13.0728705505412	FAM129B
ILMN_2246131	-2.48248036483333	9.68671789485714	-25.3142740538696	9.27937572106761e-10	5.37048454528587e-08	13.0698122976304	BCAN
ILMN_2050911	2.51101025566667	7.53970997557143	25.2383445538402	9.53361054799448e-10	5.50674131948754e-08	13.0410980859758	SLC22A4
ILMN_1796629	2.11003678241666	7.57543087357143	25.2296218290464	9.56330786532133e-10	5.51302107944754e-08	13.0377935919317	EDNRA
ILMN_2390609	3.31625229091667	7.71321775042857	25.1905039151441	9.69775525431191e-10	5.57954346999066e-08	13.0229594525928	ANK3
ILMN_1662619	2.9811988325	11.77895308	25.107368308621	9.99050280317814e-10	5.73670342335435e-08	12.9913523971202	TFPI
ILMN_1684919	2.9901719605	6.27010455771429	25.0932959495759	1.00410187951242e-09	5.75442730753838e-08	12.9859913744756	ADAMTSL1
ILMN_1679464	2.76917622441666	6.53758677728571	25.0753525223738	1.01058419437191e-09	5.78026526019168e-08	12.9791510353644	BNC1
ILMN_1711062	2.00263684716667	6.210835523	25.0153301719333	1.03260748405798e-09	5.89471933150836e-08	12.9562320231848	MMP19
ILMN_1710523	1.70197797025	6.63244137814286	24.9879460739317	1.04283147232176e-09	5.94150188072817e-08	12.9457564272833	ATP8B1
ILMN_2078592	2.15803259366667	9.25446199842857	24.9288991261485	1.06526088807169e-09	6.05750778780181e-08	12.9231273074992	C6orf105
ILMN_1745964	1.7648521945	10.0945571212857	24.9146335029845	1.07075963642924e-09	6.07697595985083e-08	12.9176517100076	IRAK2
ILMN_1752932	-2.09203514041667	8.284098828	-24.9063562563984	1.07396455458662e-09	6.08337562496505e-08	12.9144731306393	MPZL2
ILMN_1651354	2.53576329066667	9.732043214	24.9008908660469	1.07608655961336e-09	6.0836283587408e-08	12.9123737353577	SPP1
ILMN_1726175	1.98992817758333	7.97994335842857	24.8843332320154	1.08254367941752e-09	6.10834135871715e-08	12.906010571787	ITGAX
ILMN_1809928	3.84291438383333	9.34290251014286	24.8747273723879	1.08630943220297e-09	6.11780225424307e-08	12.9023169636154	COL6A2
ILMN_2325506	2.49161468766667	9.02570183885714	24.8418022215517	1.09932754854205e-09	6.17923363897388e-08	12.8896453352078	BCAS4
ILMN_1736101	1.98687243658333	5.92369172671429	24.8236093900941	1.10659481919456e-09	6.20816652875722e-08	12.8826360453727	GLIS1
ILMN_1802653	3.25328705708333	7.38126547314286	24.8092879507465	1.11235308956139e-09	6.22853924049814e-08	12.8771145213272	EBI3
ILMN_2314169	2.77468772616667	7.70056035685714	24.8032368166925	1.11479606282947e-09	6.23030585877117e-08	12.8747805461693	PTHLH
ILMN_1811303	-1.97200912233334	8.26122453271429	-24.7425660229223	1.13962158753917e-09	6.34575853942998e-08	12.8513462047418	NR5A2
ILMN_1762204	-2.75957856716667	7.66876490128571	-24.7421644243415	1.13978794322697e-09	6.34575853942998e-08	12.8511908848469	C1orf150
ILMN_1752658	3.25834057116666	9.18194542914286	24.7346987668568	1.14288537604102e-09	6.34705963621255e-08	12.8483030295613	NGFR
ILMN_1758164	4.2866149845	10.1291994898571	24.7308423363375	1.1444890267218e-09	6.34705963621255e-08	12.8468109322552	STC1
